,name,train_accuracy,train_prec,train_recall,train_f1,train_logloss,test_accuracy,test_prec,test_recall,test_f1,test_logloss,AUC
0,Dummy,0.8391584025730368,0.0,0.0,0.0,5.797318788209381,0.8399098083427283,0.0,0.0,0.0,5.7702353790920355,0.5
1,Naive Bayes 1,0.8414126310146848,0.8,0.014035567715458275,0.027535175329882627,0.45048180925329573,0.8399098083427283,0.0,0.0,0.0,0.4859842560283506,0.7920313829284431
2,MNB Count Vect,0.8470510234309978,0.540955159501978,0.33417236662106703,0.4119919111923377,0.5223345466333587,0.8658399098083427,0.7254901960784313,0.2605633802816901,0.38341968911917096,0.5692506852078816,0.8192834861518101
3,RF tfidf,0.8391584025730368,0.0,0.0,0.0,0.4252323055448463,0.8399098083427283,0.0,0.0,0.0,0.4231154936592716,0.7623782966253899
4,RF count,0.8391584025730368,0.0,0.0,0.0,0.4253345811906658,0.8399098083427283,0.0,0.0,0.0,0.42323197382628963,0.7469656867378769
5,Ada tfidf,0.8526823625668298,0.5805022708384053,0.3015595075239398,0.39575087458634434,0.6441525933960354,0.8455467869222097,0.5287356321839081,0.323943661971831,0.4017467248908297,0.6513348450399736,0.7573967293695056
6,Ada count,0.8553139415141983,0.6082166199813258,0.306265389876881,0.4038260470738697,0.6513561007829617,0.8556933483652762,0.6060606060606061,0.28169014084507044,0.38461538461538464,0.6566999814818347,0.7780650345023159
7,X tfidf,0.8579455204615666,0.6701147480217248,0.2454719562243502,0.3556437160917093,0.3562903447194422,0.8669673055242391,0.7142857142857143,0.28169014084507044,0.4040404040404041,0.35259732378418074,0.7966584743359486
8,X count,0.8639598527275035,0.7191013824884793,0.2618878248974008,0.3805190883501549,0.3369197408534782,0.8647125140924464,0.6896551724137931,0.28169014084507044,0.4,0.3378698230821375,0.8163956895736837
9,Bayes TF-IDF Smote,0.9113322360592327,0.8604278039343551,0.982093879475527,0.9171921566411759,0.3106485006438823,0.8139797068771139,0.441025641025641,0.6056338028169014,0.5103857566765578,0.42062447096977573,0.8367520559599206
10,Bayes Count Smote,0.859866823992725,0.855251916443922,0.8625936738194842,0.8482260503452842,0.4773224202795963,0.8432919954904171,0.5106382978723404,0.5070422535211268,0.5088339222614839,0.47204776959566824,0.8094526892901031
11,R.F. TF-IDF Smote,0.8036500647592135,0.8276591909479221,0.7662934761890431,0.7904186846370905,0.6454359042711122,0.8173618940248027,0.4295774647887324,0.4295774647887324,0.4295774647887324,0.6485241254228856,0.784209282540883
12,R.F. Count Smote,0.8007465472191116,0.7535252543322613,0.8849620288721021,0.8109515562845611,0.6507934106602054,0.6989853438556933,0.2727272727272727,0.528169014084507,0.35971223021582727,0.654023366678321,0.7327299366669817
13,AdaBoost TF-IDF Smote,0.8775524775096388,0.8985795904652439,0.8536360991563086,0.8633426395681383,0.6533955206923612,0.826381059751973,0.45454545454545453,0.4225352112676056,0.43795620437956206,0.6692240695910309,0.7716183004064656
14,AdaBoost Count Smote,0.8289745497543659,0.7989320319053871,0.8630601619165137,0.8182866102537607,0.6627690051652625,0.7361894024802705,0.3017241379310345,0.49295774647887325,0.37433155080213903,0.6574770821108388,0.7288212496455242
15,XGBoost TF-IDF Smote,0.9113820893802405,0.9580495047931608,0.8639690613055647,0.8824224958506675,0.24891521580287185,0.8692220969560316,0.6710526315789473,0.3591549295774648,0.46788990825688076,0.34301883308382114,0.8128462047452499
16,XGBoost Count Smote,0.8665897572719462,0.8482630725183931,0.8845487103861316,0.8550565644685685,0.35877687287236026,0.7925591882750845,0.38202247191011235,0.4788732394366197,0.425,0.43602083792125773,0.7677899612439739
17,Logistic TF-IDF,0.8489264907108296,0.9314285714285715,0.06538987688098495,0.12132957373077705,0.35554479561243213,0.8500563697857948,0.9090909090909091,0.07042253521126761,0.13071895424836602,0.34890498720928975,0.8367236978920503
18,Logistic Count-Vect,0.8725965946761839,0.7515196278354173,0.3083994528043775,0.436060068318792,0.32310619282421893,0.8793686583990981,0.7777777777777778,0.34507042253521125,0.4780487804878048,0.3244932105136393,0.8356460913129785
19,Logistic TF-IDF Smote,0.9283527610973744,0.8972274548351289,0.9677762060974509,0.9308471802616634,0.34063174382387124,0.8342728297632469,0.4853801169590643,0.5845070422535211,0.5303514376996805,0.3950317752290724,0.8481898100009453
20,Logistic Count Smote,0.8742062925412917,0.8613217203453448,0.8841103118949448,0.8582879965820858,0.3348343481134211,0.8139797068771139,0.4276729559748428,0.4788732394366197,0.45182724252491696,0.4304660657630735,0.7750732583419983
21,TF-IDF Smote Ensemble,0.9438128020322119,0.936274415972562,0.9534655551208354,0.9424870875589786,0.27659568842420207,0.8658399098083427,0.5950413223140496,0.5070422535211268,0.5475285171102662,0.36287730748535674,0.8546459967860855
22,Count Smote Ensemble,0.8746534693151556,0.8649128090723137,0.8805248743491738,0.8587896162361923,0.3342509883357335,0.8421645997745209,0.5071428571428571,0.5,0.5035460992907801,0.37560687102772033,0.8047641554022119
23,TFIDF Ensemble,0.8583242816233829,0.7826363008971705,0.16837209302325581,0.2752968322473273,0.4027236213681875,0.8635851183765502,0.8,0.19718309859154928,0.3163841807909605,0.3996387424310924,0.8174024009830798
24,Count-V Ensemble,0.8688463654445682,0.773881673881674,0.26880984952120385,0.3965278145809411,0.38279900665766015,0.8737316798196166,0.7678571428571429,0.3028169014084507,0.43434343434343436,0.3834643022237421,0.829274978731449
25,Grid LR Count_V,0.872597300004232,0.7465803565803565,0.31305061559507524,0.4400621545639137,0.3228348055938856,0.8816234498308907,0.7936507936507936,0.352112676056338,0.4878048780487805,0.32443738620420826,0.8356460913129785
