,name,train_accuracy,train_prec,train_recall,train_f1,train_logloss,test_accuracy,test_prec,test_recall,test_f1,test_logloss,AUC
0,Dummy,0.9361385466403999,0.0,0.0,0.0,2.301800089818701,0.936436884512086,0.0,0.0,0.0,2.2910469029787985,0.5
1,Logistic TF-IDF,0.9358402617783567,0.2,0.002352941176470588,0.004651162790697674,0.193715889904453,0.9377797672336616,0.8,0.028169014084507043,0.054421768707483,0.18800242374019424,0.8413136563164838
2,Logistic Count-Vect,0.9385258272396408,0.585377118008697,0.1378112175102599,0.22095619952762807,0.18488369697742393,0.9431512981199642,0.6595744680851063,0.21830985915492956,0.3280423280423281,0.17853358745343498,0.8463125791075324
3,Logistic TF-IDF Smote,0.9538579361311232,0.9220544483838303,0.9915531494436924,0.955532300951423,0.23746504974364796,0.9042076991942704,0.3487394957983193,0.5845070422535211,0.43684210526315786,0.2751557163051202,0.8569432849486979
4,Logistic Count Smote,0.9233374354316493,0.9082995566560308,0.9415119108891389,0.9224399655699328,0.22852483234187565,0.8764547896150403,0.22764227642276422,0.39436619718309857,0.288659793814433,0.29423302373241533,0.789058923329653
5,Naive Bayes TF-IDF,0.9361385466403999,0.0,0.0,0.0,0.2970993755880314,0.936436884512086,0.0,0.0,0.0,0.29338205813037277,0.805506557509493
6,Naive Bayes Count-Vect,0.9180839649626588,0.26561701031318435,0.1612859097127223,0.19988097351491635,0.4145576587389961,0.9377797672336616,0.5348837209302325,0.1619718309859155,0.24864864864864866,0.34580223265575355,0.8343690248565965
7,Naive Bayes TF-IDF Smote,0.9182340863727235,0.8680598971029818,0.9864510061826062,0.9234636759080882,0.24766597967730042,0.8545210384959714,0.24793388429752067,0.6338028169014085,0.3564356435643564,0.3545850795092838,0.8452454689898472
8,Naive Bayes Count Smote,0.9109053780890786,0.8892956458991594,0.9380041556262986,0.9115691967057196,0.3545272107805782,0.8795881826320502,0.23430962343096234,0.39436619718309857,0.29396325459317585,0.39310028290565013,0.7878167667573318
9,Random Forest TF-IDF,0.9400185871537168,0.6510431597388119,0.13086183310533514,0.2161358152247966,0.3316036090706073,0.9440465532676813,0.7741935483870968,0.16901408450704225,0.27745664739884396,0.2799513508428183,0.8223716101580804
10,Random Forest Count-Vect,0.9416599329972064,0.6693511533003551,0.17529411764705882,0.27643061301992766,0.31499000054697107,0.9458370635631155,0.7837837837837838,0.20422535211267606,0.32402234636871513,0.33053173807698344,0.826606387849083
11,Random Forest TF-IDF Smote,0.9870910935770668,0.9920672123051955,0.9819920318725099,0.9866847002137238,0.09611577397715607,0.9440465532676813,0.7297297297297297,0.19014084507042253,0.3016759776536313,0.2000734065461333,0.834552487006167
12,Random Forest Count Smote,0.928198024958754,0.8987170769017199,0.9649394765435864,0.929754602430157,0.2482625802787914,0.8710832587287377,0.21031746031746032,0.3732394366197183,0.2690355329949239,0.4492794469398415,0.7975924379931597
13,AdaBoost TF-IDF,0.933751488641802,0.4109847240881724,0.09562243502051984,0.15363616094050875,0.6212138380809631,0.9359892569382274,0.4897959183673469,0.16901408450704225,0.2513089005235602,0.6215504511411152,0.7772062585840087
14,AdaBoost Count-Vect,0.9344972007969103,0.4543740573152338,0.12374829001367989,0.1936357691775648,0.642674739094202,0.9391226499552372,0.5789473684210527,0.15492957746478872,0.24444444444444444,0.6435456236286069,0.7909490884119247
15,AdaBoost TF-IDF Smote,0.87950587446944,0.8954951962083051,0.8589474955044256,0.8759783078668095,0.6632794873449409,0.8666069829901522,0.20229007633587787,0.3732394366197183,0.2623762376237624,0.6720240533741668,0.7721938706810653
16,AdaBoost Count Smote,0.8410933071222484,0.8067105251616397,0.8956063465436499,0.8479210583145459,0.6621197448917716,0.7802148612354521,0.14168377823408623,0.4859154929577465,0.21939586645468998,0.6633067371086797,0.7332931624161796
17,XGBoost TF-IDF,0.9343479470655671,0.41653330157974117,0.08396716826265391,0.13938011621574806,0.20201282131301265,0.9377797672336616,0.5428571428571428,0.13380281690140844,0.21468926553672316,0.1917790925791267,0.8281060646863975
18,XGBoost Count-Vect,0.9364367202021213,0.5106782106782106,0.11909712722298223,0.1929391245438825,0.19310669756263976,0.937332139659803,0.5333333333333333,0.11267605633802817,0.18604651162790697,0.1887459271256362,0.8246707780141653
19,XGBoost TF-IDF Smote,0.9641412349803655,0.979380646038944,0.9483655171975574,0.9613272444994584,0.12966517098079358,0.9391226499552372,0.5535714285714286,0.21830985915492956,0.31313131313131315,0.19602650951041958,0.8168997253117174
20,XGBoost Count Smote,0.9140126302283889,0.8876126215608396,0.9475673065314499,0.9153970768180255,0.24759159050470947,0.8612354521038496,0.19784172661870503,0.3873239436619718,0.26190476190476186,0.3130353139185731,0.7668802008994695
21,Grid Searched MNB TF-IDF/SMOTE,0.9303475456484147,0.8848452266118093,0.9894797842124327,0.9342389665318297,0.2117525792386473,0.8795881826320502,0.28619528619528617,0.5985915492957746,0.3872437357630979,0.3211932945944038,0.8366648264347075
