,name,train_accuracy,train_prec,train_recall,train_f1,train_logloss,test_accuracy,test_prec,test_recall,test_f1,test_logloss,AUC
0,Dummy,0.6666666666666666,0.0,0.0,0.0,12.014551129705719,0.666965085049239,0.0,0.0,0.0,12.003795040959337,0.5
1,Logistic TF-IDF,0.7357517780226385,0.6859915430910237,0.3822794715141301,0.4904223869251155,0.5181321592609567,0.7439570277529096,0.6972477064220184,0.40860215053763443,0.5152542372881356,0.51194328918235,0.790701450530418
2,Logistic Count-Vect,0.7400780215254823,0.6435536552298379,0.49507930297649494,0.5588552626181678,0.5316791767091256,0.7538048343777977,0.6684027777777778,0.5174731182795699,0.5833333333333334,0.5251657721648391,0.7872005123764163
3,Logistic TF-IDF Smote,0.7654471330977267,0.7475389373153296,0.8007961500209184,0.7722298788508232,0.4992369608217301,0.7332139659803044,0.5839002267573696,0.6922043010752689,0.6334563345633456,0.5360673032143681,0.7919959226383777
4,Logistic Count Smote,0.754710067364473,0.7373525895345674,0.7824223202587363,0.7528628286133928,0.5303228540913528,0.6897940913160251,0.5301775147928994,0.6021505376344086,0.5638766519823789,0.5942504821413599,0.7505899545356137
5,Naive Bayes TF-IDF,0.7032238138168218,0.6823869534828438,0.20546242513618443,0.3155076705547752,0.5648895166593058,0.7135183527305282,0.7342342342342343,0.21908602150537634,0.3374741200828157,0.5572140632784485,0.7564317673378077
6,Naive Bayes Count-Vect,0.7020321212728304,0.5555329023089328,0.5295532749470813,0.5418104057558681,0.740106984649533,0.7233661593554163,0.6012861736334405,0.5026881720430108,0.5475841874084919,0.7056597195887988,0.7537345745832431
7,Naive Bayes TF-IDF Smote,0.7231439716871415,0.6745206995329478,0.8623484671982684,0.7566610474468124,0.5247335042675131,0.6620411817367949,0.49517966695880805,0.7594086021505376,0.5994694960212201,0.5810922193147223,0.76747311827957
8,Naive Bayes Count Smote,0.7075923679469798,0.678965029674939,0.7828930458374982,0.7253708512508477,0.7385304362185853,0.666965085049239,0.5,0.6760752688172043,0.5748571428571428,0.8004920409215449,0.7427987659666595
9,Random Forest TF-IDF,0.7423174952975614,0.7156443418759053,0.3773597776908338,0.4934108635483604,0.5467217184090816,0.7390331244404655,0.6885245901639344,0.3951612903225806,0.502134927412468,0.5588854251840645,0.7739905823771379
10,Random Forest Count-Vect,0.7414213051075718,0.6846851180872251,0.4153991232030176,0.51695633320541,0.5679204404091702,0.7367949865711728,0.6748878923766816,0.40456989247311825,0.5058823529411763,0.5875928747903891,0.7782745182940031
11,Random Forest TF-IDF Smote,0.8080881183892117,0.8381859871959264,0.7674164706353919,0.7878903447242968,0.4272011394611992,0.7363473589973142,0.6381461675579323,0.48118279569892475,0.5486590038314176,0.562300500598254,0.7835051778884319
12,Random Forest Count Smote,0.7423977420820768,0.702453732520844,0.8332351298065241,0.7589643470785068,0.5434579265407166,0.6629364368845121,0.49547738693467336,0.6626344086021505,0.5669925244393329,0.7534282605169578,0.7307331132279715
13,AdaBoost TF-IDF,0.7171010718220975,0.6507263195229698,0.32947602853101393,0.43655409159721614,0.6808298070221915,0.6947179946284691,0.5824468085106383,0.29435483870967744,0.3910714285714286,0.6827659870421313,0.7068909215558923
14,AdaBoost Count-Vect,0.7251568778033768,0.667236999745533,0.3505051113050631,0.4587054251064787,0.6844546263932184,0.7170993733213966,0.6421319796954315,0.3400537634408602,0.44463971880492087,0.6852305625473522,0.7414812910442374
15,AdaBoost TF-IDF Smote,0.7294167796501956,0.7505234489250081,0.6799186313635008,0.7077876502279649,0.6832075475840712,0.6835273052820053,0.5243741765480896,0.5349462365591398,0.5296074517631404,0.6849704495781694,0.7282406906256766
16,AdaBoost Count Smote,0.6837584142996461,0.6526101945497074,0.7759474009885489,0.7073027846414924,0.6868669265458263,0.6105640107430618,0.4420955882352941,0.646505376344086,0.5251091703056767,0.6873678701784092,0.6881973010031031
17,XGBoost TF-IDF,0.7397819626698722,0.6867712269336833,0.4037710295843741,0.507874431119185,0.5267938938676583,0.7394807520143241,0.6892523364485982,0.396505376344086,0.5034129692832765,0.5283324710241416,0.7714440355055207
18,XGBoost Count-Vect,0.7423191648023862,0.6936600344482313,0.4069060302364543,0.5121367169981413,0.5175724607777547,0.7426141450313339,0.706601466992665,0.38844086021505375,0.5013009540329575,0.5213050231476198,0.7783489391643212
19,XGBoost TF-IDF Smote,0.7812332167819036,0.810622191236386,0.7300390058396026,0.7544131400382199,0.4540207615283398,0.7381378692927484,0.632279534109817,0.510752688172043,0.5650557620817844,0.5328985069207248,0.7758619289889587
20,XGBoost Count Smote,0.7389314324558801,0.7141520974351104,0.7855613258478196,0.7439556520234201,0.535021761486447,0.6826320501342883,0.5193798449612403,0.6303763440860215,0.5695203400121432,0.5704444770404387,0.7411849606696976
21,LR Liblinear TFIDF,0.7361992053157034,0.6865345383883248,0.38406918068638957,0.4920715434415535,0.518146462223044,0.743509400179051,0.6956521739130435,0.40860215053763443,0.514817950889077,0.5119833671612838,0.7906274806956773
22,LR Liblinear COUNT,0.7402269413558604,0.6433619348969044,0.4968710185491719,0.5599253220724073,0.5316285492396238,0.7542524619516562,0.6689774696707106,0.5188172043010753,0.5844057532172597,0.5254877193177457,0.7868189362776934
